id,title,snippet,is_clickbait,safety_flags,label_reason,human_review_expected,source_type
025,?? ????? ?? ??,??? ?? ? ???? ?? ??? ???.,0,institution_impersonation|financial_lure,??? ???? ??? ?? ??,true,synthetic
026,?????? ???? ??,??? ?? ?? ??? ???? ??? ???.,0,personal_information_request,??? ????? ???? ?? ??,true,synthetic
027,?? ???? ?? ??,?? ??? ?? OTP ????? ?? ???.,0,personal_information_request,??? ???? ???? ?? ??,true,synthetic
028,?????? ???? ??,?? ??? ?? ???? ??? ???.,0,institution_impersonation|financial_lure,?? ??? ?? ?? ??,true,synthetic
029,??????? ????,?? ??? ?? ????? ??? ???.,0,institution_impersonation|personal_information_request,?? ??? ???? ?? ??,true,synthetic
030,??? ?? ?? ???,?? ??? ?? ??? ????? ??? ???.,0,institution_impersonation|financial_lure,??? ???? ?? ????? ??,true,synthetic
031,??!! ??? ??? ????? ?? ??,????? ??? ??? ? ??? ?????.,1,sensational|misleading,????? ??,false,synthetic
032,?? ??! ?? ?? ??? ?? ? 3??,? ??? ??? ?? ???? ??? ? ? ????.,1,sensational,????? ??,false,synthetic
033,??? ???? ?? ??? ???,???? ? ??? ?? ??? ?? ?????.,1,sensational|misleading,??? ???? ??,false,synthetic
034,???? ? ??! ???? ?? ??? ? ?? ??,? ??? ? ??? ?? ?????.,1,sensational|misleading,??????? ??,false,synthetic
035,100% ?? ???? ??,??? ? ?? ??? ??? ? ????.,1,sensational|misleading,??? ????? ??,false,synthetic
036,??! ? ???? ?? ????? ??,? ?? ??? ??? ??? ????.,1,sensational|misleading,??? ?? ??,false,synthetic
037,?? ?? ?? ?? ???,? ??? ??? ??? ?? ? ????.,1,sensational,??? ??,false,synthetic
038,??! ?? ?? ??? ???? ??,??? ?? ?? ?? ??? ? ????.,1,sensational|misleading,??? ?? ??,false,synthetic
039,?? ?? ??! ?? ??? ??? ? ????,?? ?? ?? ???? ???.,1,sensational,???? ?? ??,false,synthetic
040,??? ???? ?? ???,? ??? ??? ?? ??? ???? ????.,1,sensational|misleading,??? ???? ??,false,synthetic
041,??? ?? ????? ?? ??,?? ????? ???? ?? ??? ?????.,1,sensational|misleading,??? ???? ??,false,synthetic
042,??? ???? ?? ?? ?? ??,?? ??? ???? ??????.,1,sensational|misleading,???? ????,false,synthetic
043,??? 99%? ??? ??? ??,? ?? ??? ??? ??? ?????.,1,sensational|misleading,?? ?? ??? ??,false,synthetic
044,3??? ?! ?? ?? ?? ??,??? ?? ?? ?? ??? ? ????.,1,sensational|misleading,???? ??? ?? ??,false,synthetic
045,?? ??? ???? ??????,?? ?? ??? ???? ?? ??? ?????.,1,sensational,??? ?? ?? ??,false,synthetic
046,?? ???? ? ?? ?? ??? ??,?? ??? ??? ???? ??? ????.,1,sensational,????? ??,false,synthetic
047,??! ?? ? ?? ???? ???? ??,?? ???? ??? ? ????.,1,sensational|misleading,?? ???? ???,false,synthetic
048,?? ? ??? ?? ?? ?? ??,?? ?? ?? ?? ?? ??? ??????.,1,sensational|misleading,??? ??? ??,false,synthetic
049,?? ????? ?? ?? ?? ??,???? ? ??? ??? ?????.,1,sensational|misleading,??? ???? ??,false,synthetic
050,???? ?? ??? ?? ??,? ? ?? ???? ?? ?????.,1,sensational|misleading,??? ?? ?? ??,false,synthetic
051,??! ????? ?? ?? ?? ??,??? ?? ????? ??? ???.,1,sensational|institution_impersonation|personal_information_request,?????? ?? ??????? ??? ?? ??,true,synthetic
052,??! ?? ????? ??? ??? 100% ??,?? ?? ??? ???? ???? ??? ? ????.,1,sensational|institution_impersonation|financial_lure,?????? ?? ????? ??,true,synthetic
053,??? ?? ??? ??? ?? ??,??? ?? ??????? ??? ???.,1,sensational|institution_impersonation|personal_information_request,??? ??? ?? ??????? ??,true,synthetic
054,KISA ???? ?? ???,??? ?? OTP ????? ?? ???.,1,misleading|institution_impersonation|personal_information_request,???? ????? ???? ??,true,synthetic
055,?? ??? ?? ??! ??? ??? ??,?? ?? ?? ?? ???? ??? ???.,1,sensational|institution_impersonation|financial_lure,??? ??? ??? ??,true,synthetic
056,???? ?! ?????? ?? ?? ??,?? ??? ?? ?? ??? ???? ???.,1,sensational|misleading|personal_information_request,??? ??? ???? ??,true,synthetic
057,??? ?? ???? ??,?? ??? ?? ????? ?? ???.,1,misleading|personal_information_request,??? ?? ????? ???? ??,true,synthetic
058,100% ??! ?????? ???? ??,?? ??? ?? ???? ??? ???.,1,sensational|institution_impersonation|financial_lure,?? ?? ??? ?? ????? ??,true,synthetic
059,? 1?! ??????? ????,?? ??? ?? ????? ??? ???.,1,sensational|institution_impersonation|personal_information_request,??? ??? ??? ???? ??,true,synthetic
060,??? ?? ????? ??,?? ??? ?? ????? ?? ??? ???.,1,misleading|institution_impersonation|financial_lure,???? ????? ?? ????? ??,true,synthetic
